Vt (V),Vb (V)
4,70
3.979949875,67.97101449
3.959899749,65.94202899
3.939849624,63.91304348
3.919799499,61.88405797
3.899749373,59.85507246
3.879699248,57.82608696
3.859649123,55.79710145
3.839598997,53.76811594
3.819548872,51.73913043
3.799498747,49.71014493
3.779448622,47.68115942
3.759398496,45.65217391
3.739348371,43.62318841
3.719298246,41.5942029
3.69924812,39.56521739
3.679197995,37.53623188
3.65914787,35.50724638
3.639097744,33.47826087
3.619047619,31.44927536
3.598997494,29.42028986
3.578947368,27.39130435
3.558897243,25.36231884
3.538847118,23.33333333
3.518796992,21.30434783
3.498746867,19.27536232
3.478696742,17.24637681
3.458646617,15.2173913
3.438596491,13.1884058
3.418546366,11.15942029
3.398496241,9.130434783
3.378446115,7.101449275
3.35839599,5.072463768
3.338345865,3.043478261
3.318295739,1.014492754
3.298245614,-1.014492754
3.278195489,-3.043478261
3.258145363,-5.072463768
3.238095238,-7.101449275
3.218045113,-9.130434783
3.197994987,-11.15942029
3.177944862,-13.1884058
3.157894737,-15.2173913
3.137844612,-17.24637681
3.117794486,-19.27536232
3.097744361,-21.30434783
3.077694236,-23.33333333
3.05764411,-25.36231884
3.037593985,-27.39130435
3.01754386,-29.42028986
2.997493734,-31.44927536
2.977443609,-33.47826087
2.957393484,-35.50724638
2.937343358,-37.53623188
2.917293233,-39.56521739
2.897243108,-41.5942029
2.877192982,-43.62318841
2.857142857,-45.65217391
2.837092732,-47.68115942
2.817042607,-49.71014493
2.796992481,-51.73913043
2.776942356,-53.76811594
2.756892231,-55.79710145
2.736842105,-57.82608696
2.71679198,-59.85507246
2.696741855,-61.88405797
2.676691729,-63.91304348
2.656641604,-65.94202899
2.636591479,-67.97101449
2.616541353,-70
2.596491228,
2.576441103,
2.556390977,
2.536340852,
2.516290727,
2.496240602,
2.476190476,
2.456140351,
2.436090226,
2.4160401,
2.395989975,
2.37593985,
2.355889724,
2.335839599,
2.315789474,
2.295739348,
2.275689223,
2.255639098,
2.235588972,
2.215538847,
2.195488722,
2.175438596,
2.155388471,
2.135338346,
2.115288221,
2.095238095,
2.07518797,
2.055137845,
2.035087719,
2.015037594,
1.994987469,
1.974937343,
1.954887218,
1.934837093,
1.914786967,
1.894736842,
1.874686717,
1.854636591,
1.834586466,
1.814536341,
1.794486216,
1.77443609,
1.754385965,
1.73433584,
1.714285714,
1.694235589,
1.674185464,
1.654135338,
1.634085213,
1.614035088,
1.593984962,
1.573934837,
1.553884712,
1.533834586,
1.513784461,
1.493734336,
1.473684211,
1.453634085,
1.43358396,
1.413533835,
1.393483709,
1.373433584,
1.353383459,
1.333333333,
1.313283208,
1.293233083,
1.273182957,
1.253132832,
1.233082707,
1.213032581,
1.192982456,
1.172932331,
1.152882206,
1.13283208,
1.112781955,
1.09273183,
1.072681704,
1.052631579,
1.032581454,
1.012531328,
0.992481203,
0.972431078,
0.952380952,
0.932330827,
0.912280702,
0.892230576,
0.872180451,
0.852130326,
0.832080201,
0.812030075,
0.79197995,
0.771929825,
0.751879699,
0.731829574,
0.711779449,
0.691729323,
0.671679198,
0.651629073,
0.631578947,
0.611528822,
0.591478697,
0.571428571,
0.551378446,
0.531328321,
0.511278195,
0.49122807,
0.471177945,
0.45112782,
0.431077694,
0.411027569,
0.390977444,
0.370927318,
0.350877193,
0.330827068,
0.310776942,
0.290726817,
0.270676692,
0.250626566,
0.230576441,
0.210526316,
0.19047619,
0.170426065,
0.15037594,
0.130325815,
0.110275689,
0.090225564,
0.070175439,
0.050125313,
0.030075188,
0.010025063,
-0.010025063,
-0.030075188,
-0.050125313,
-0.070175439,
-0.090225564,
-0.110275689,
-0.130325815,
-0.15037594,
-0.170426065,
-0.19047619,
-0.210526316,
-0.230576441,
-0.250626566,
-0.270676692,
-0.290726817,
-0.310776942,
-0.330827068,
-0.350877193,
-0.370927318,
-0.390977444,
-0.411027569,
-0.431077694,
-0.45112782,
-0.471177945,
-0.49122807,
-0.511278195,
-0.531328321,
-0.551378446,
-0.571428571,
-0.591478697,
-0.611528822,
-0.631578947,
-0.651629073,
-0.671679198,
-0.691729323,
-0.711779449,
-0.731829574,
-0.751879699,
-0.771929825,
-0.79197995,
-0.812030075,
-0.832080201,
-0.852130326,
-0.872180451,
-0.892230576,
-0.912280702,
-0.932330827,
-0.952380952,
-0.972431078,
-0.992481203,
-1.012531328,
-1.032581454,
-1.052631579,
-1.072681704,
-1.09273183,
-1.112781955,
-1.13283208,
-1.152882206,
-1.172932331,
-1.192982456,
-1.213032581,
-1.233082707,
-1.253132832,
-1.273182957,
-1.293233083,
-1.313283208,
-1.333333333,
-1.353383459,
-1.373433584,
-1.393483709,
-1.413533835,
-1.43358396,
-1.453634085,
-1.473684211,
-1.493734336,
-1.513784461,
-1.533834586,
-1.553884712,
-1.573934837,
-1.593984962,
-1.614035088,
-1.634085213,
-1.654135338,
-1.674185464,
-1.694235589,
-1.714285714,
-1.73433584,
-1.754385965,
-1.77443609,
-1.794486216,
-1.814536341,
-1.834586466,
-1.854636591,
-1.874686717,
-1.894736842,
-1.914786967,
-1.934837093,
-1.954887218,
-1.974937343,
-1.994987469,
-2.015037594,
-2.035087719,
-2.055137845,
-2.07518797,
-2.095238095,
-2.115288221,
-2.135338346,
-2.155388471,
-2.175438596,
-2.195488722,
-2.215538847,
-2.235588972,
-2.255639098,
-2.275689223,
-2.295739348,
-2.315789474,
-2.335839599,
-2.355889724,
-2.37593985,
-2.395989975,
-2.4160401,
-2.436090226,
-2.456140351,
-2.476190476,
-2.496240602,
-2.516290727,
-2.536340852,
-2.556390977,
-2.576441103,
-2.596491228,
-2.616541353,
-2.636591479,
-2.656641604,
-2.676691729,
-2.696741855,
-2.71679198,
-2.736842105,
-2.756892231,
-2.776942356,
-2.796992481,
-2.817042607,
-2.837092732,
-2.857142857,
-2.877192982,
-2.897243108,
-2.917293233,
-2.937343358,
-2.957393484,
-2.977443609,
-2.997493734,
-3.01754386,
-3.037593985,
-3.05764411,
-3.077694236,
-3.097744361,
-3.117794486,
-3.137844612,
-3.157894737,
-3.177944862,
-3.197994987,
-3.218045113,
-3.238095238,
-3.258145363,
-3.278195489,
-3.298245614,
-3.318295739,
-3.338345865,
-3.35839599,
-3.378446115,
-3.398496241,
-3.418546366,
-3.438596491,
-3.458646617,
-3.478696742,
-3.498746867,
-3.518796992,
-3.538847118,
-3.558897243,
-3.578947368,
-3.598997494,
-3.619047619,
-3.639097744,
-3.65914787,
-3.679197995,
-3.69924812,
-3.719298246,
-3.739348371,
-3.759398496,
-3.779448622,
-3.799498747,
-3.819548872,
-3.839598997,
-3.859649123,
-3.879699248,
-3.899749373,
-3.919799499,
-3.939849624,
-3.959899749,
-3.979949875,
-4,